表代码,表名称,规则编号,适用范围/要素,列1名称,列1阈值,列2名称,列2阈值,列3名称,列3阈值,逻辑或备注,严重度
MA,METAR-风(M-A'),,全局默认,平均风(m/s),,阵风(m/s),,,仅平均风/仅阵风/平均或阵风（自填）,
MA,METAR-风(M-A'),,机场覆盖（填ICAO）,平均风(m/s),,阵风(m/s),,,仅平均风/仅阵风/平均或阵风（自填）,
MA,METAR-风(M-A'),,机场覆盖（填ICAO）,平均风(m/s),,阵风(m/s),,,仅平均风/仅阵风/平均或阵风（自填）,
MB,METAR-组合(M-B'),,组合规则行1,阵风(m/s),,主导能见度(m),,现象TS/FG/FZ等,,须同时满足（AND）,
MB,METAR-组合(M-B'),,组合规则行2,阵风(m/s),,主导能见度(m),,现象TS/FG/FZ等,,须同时满足（AND）,
MC,METAR-其他(M-C'),,RVR规则,RVR(m),,,,,,≤或≥（自填）,
MC,METAR-其他(M-C'),,云底高,数值,,单位,ft或m,,,,
MC,METAR-其他(M-C'),,气温露点,阈值,,,,,,条件说明自填,
TA,TAF-风(T-A'),,全局默认,平均风(m/s),,阵风(m/s),,,评估：整份最差/TEMPO/PROB（自填）,
TA,TAF-风(T-A'),,机场覆盖（填ICAO）,平均风(m/s),,阵风(m/s),,,评估：整份最差/TEMPO/PROB（自填）,
TB,TAF-组合(T-B'),,组合规则行1,阵风(m/s),,能见度(m),,现象,,评估：整份最差/仅短时段,
TB,TAF-组合(T-B'),,组合规则行2,阵风(m/s),,能见度(m),,现象,,评估：整份最差/仅短时段,
TC,TAF-其他(T-C'),,扩展行1,要素名,,阈值,,,,条件说明,
TC,TAF-其他(T-C'),,扩展行2,要素名,,阈值,,,,条件说明,
